act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
"nr. 250, 8 noiembrie 2024",20.11.2024,Lege,Lege pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1014 01 E,Împrumut,AFD,,477-480,,https://monitorul.gov.md/ro/search
"nr. 1645-IX, 19 noiembrie 2024",20.11.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului nr. 1 la Acordul de împrumut (Proiectul „Îmbunătățirea calității educației”) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare,Împrumut,BIRD,,477-480,,https://monitorul.gov.md/ro/search
"nr. 1644-IX, 19 noiembrie 2024",20.11.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1014 01 E,Împrumut,AFD,,477-480,,https://monitorul.gov.md/ro/search
"nr. 769, 13 noiembrie 2024",14.11.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Optimizarea sistemului de alimentare centralizată cu energie termică din mun. Chișinău” și acordarea împuternicirilor delegației pentru negocierea acestuia,Împrumut,BERD,,467-469,,https://monitorul.gov.md/ro/search
"nr. 756, 13 noiembrie 2024",14.11.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 1 la Acordul de grant al Parteneriatului Global pentru Educație (Proiectul „Îmbunătățirea calității educației”) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, în calitate de agent de grant al Parteneriatului Global pentru Educație, semnat la Chișinău la 10 octombrie 2024",Grant,BIRD,10.10.2024,467-469,,https://monitorul.gov.md/ro/search
"nr. 755, 13 noiembrie 2024",14.11.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 1 la Acordul de grant al Fondului fiduciar cu donatori multipli al Parteneriatului pentru învățarea timpurie (ELP) (Proiectul „Îmbunătățirea calității educației”) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, în calitate de administrator al ELP, semnat la Chișinău la 10 octombrie 2024",Grant,BIRD,10.10.2024,467-469,,https://monitorul.gov.md/ro/search
"nr. 737, 6 noiembrie 2024",07.11.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 1 la Acordul de împrumut (Proiectul Îmbunătățirea Calității Educației) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, semnat la Chișinău la 10 octombrie 2024",Împrumut,BIRD,10.10.2024,459-461,,https://monitorul.gov.md/ro/search
"nr. 735, 6 noiembrie 2024",07.11.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova, Banca Internațională pentru Reconstrucție și Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, Reziliență și Oportunități pentru Bunăstare în Moldova (M-GROW)” pentru cofinanțarea Proiectului „Tranziția durabilă către eficiența energetică în Moldova (STEEM)”, semnat la Chișinău la 8 august 2024",Grant,BIRD / AID,08.08.2024,459-461,,https://monitorul.gov.md/ro/search
"nr. 710, 16 octombrie 2024",17.10.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea implementării Proiectului „Tranziție durabilă prin eficiență energetică în Moldova (STEEM)”, semnat la Chișinău la 8 august 2024",Împrumut,BIRD,08.08.2024,434-436,,https://monitorul.gov.md/ro/search
"nr. 690, 9 octombrie 2024",10.10.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție şi Dezvoltare în vederea realizării Proiectului de susținere a managementului riscurilor de dezastre și rezilienței Republicii Moldova,Împrumut,BIRD,,423-426,,https://monitorul.gov.md/ro/search
"nr. 681, 2 octombrie 2024",03.10.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1014 01 E, semnat la Chișinău la 17 septembrie 2024",Împrumut,AFD,17.09.2024,414-417,,https://monitorul.gov.md/ro/search
"nr. 1628-IX, 26 septembrie 2024",27.09.2024,Decret,"Decret pentru inițierea negocierilor și aprobarea semnării Amendamentului nr. 1 la Acordul de grant al Parteneriatului Global pentru Educație (Proiectul Îmbunătățirea Calității Educației) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, ca Agent de Grant al Parteneriatului Global pentru Educație",Grant,BIRD,,411-413,,https://monitorul.gov.md/ro/search
"nr. 1627-IX, 26 septembrie 2024",27.09.2024,Decret,"Decret pentru inițierea negocierilor și aprobarea semnării Amendamentului nr. 1 la Acordul de grant al Fondului fiduciar cu donatori multipli al Parteneriatului pentru învățarea timpurie (ELP) (Proiectul Îmbunătățirea Calității Educației) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, în calitate de administrator al ELP",Grant,BIRD,,411-413,,https://monitorul.gov.md/ro/search
"nr. 659, 25 septembrie 2024",26.09.2024,Hotărâre,"Hotărâre cu privire la inițierea negocierilor și aprobarea semnării Amendamentului nr. 1 la Acordul de împrumut (Proiectul Îmbunătățirea Calității Educației) dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, semnat la Chișinău la 30 iunie 2023",Împrumut,BIRD,30.06.2023,408-410,,https://monitorul.gov.md/ro/search
"nr. 237, 13 septembrie 2024",19.09.2024,Lege,Lege pentru ratificarea Amendamentului nr. 2 la Acordul de finanțare (Proiectul „Învățământul superior”) dintre Republica Moldova și Asociația Internațională pentru Dezvoltare,Împrumut,AID,,400-401,,https://monitorul.gov.md/ro/search
"nr. 1622-IX, 18 septembrie 2024",19.09.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului nr. 2 la Acordul de finanțare (Proiectul „Învățământul superior”) dintre Republica Moldova și Asociația Internațională pentru Dezvoltare,Împrumut,AID,,400-401,,https://monitorul.gov.md/ro/search
"nr. 631, 11 septembrie 2024",12.09.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 2 la Acordul de finanțare (Proiectul Învățământul Superior) dintre Republica Moldova și Asociația Internațională pentru Dezvoltare, încheiat la Chișinău la 19 mai 2020",Împrumut,AID,,392-394,,https://monitorul.gov.md/ro/search
"nr. 629, 11 septembrie 2024",12.09.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de grant investițional dintre Republica Moldova şi Banca Europeană de Investiții „Moldova Solidarity Lanes”,Grant,BEI,,392-394,,https://monitorul.gov.md/ro/search
"nr. 628, 11 septembrie 2024",12.09.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză de Dezvoltare nr. CMD 1014 01 E,Împrumut,AFD,,392-394,,https://monitorul.gov.md/ro/search
"nr. 625, 11 septembrie 2024",12.09.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții în vederea implementării Proiectului „Programul de dezvoltare a pădurilor din Moldova”,Împrumut,BEI,,392-394,,https://monitorul.gov.md/ro/search
"nr. 609, 4 septembrie 2024",05.09.2024,Hotărâre,"Hotărâre cu privire la aprobarea semnării Acordului de grant dintre Republica Moldova și Banca Europeană pentru Reconstrucții și Dezvoltare privind finanțarea proiectelor investiționale orientate spre dezvoltarea infrastructurii în domeniul managementului deșeurilor solide, în sumă de 4 340 000 de euro, în vederea realizării Proiectului „Deșeuri solide în Republica Moldova”",Grant,BERD,,380-382,,https://monitorul.gov.md/ro/search
"nr. 594, 28 august 2024",29.08.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții în vederea implementării Proiectului „Programul de Dezvoltare a Pădurilor din Moldova” şi acordarea împuternicirilor pentru negocierea acestuia,Împrumut,BEI,,373-376,,https://monitorul.gov.md/ro/search
"nr. 215, 31 iulie 2024",15.08.2024,Lege,Lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Programului „Operațiunea Politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”,Împrumut,BIRD,,355-357,,https://monitorul.gov.md/ro/search
"nr. 1576-IX, 9 august 2024",15.08.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Programului „Operațiunea Politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”,Împrumut,BIRD,,355-357,,https://monitorul.gov.md/ro/search
"nr. 216, 31 iulie 2024",08.08.2024,Lege,"Lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție şi Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, reziliență și oportunități pentru bunăstare în Moldova (M-GROW)” pentru cofinanțarea Programului „Operațiunea Politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”",Grant,BIRD / AID,,344-346,,https://monitorul.gov.md/ro/search
"nr. 1570-IX, 2 august 2024",08.08.2024,Decret,"Decret privind promulgarea Legii pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție şi Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, reziliență și oportunități pentru bunăstare în Moldova (M-GROW)” pentru cofinanțarea Programului „Operațiunea Politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”",Grant,BIRD / AID,,344-346,,https://monitorul.gov.md/ro/search
"nr. 1541-IX, 31 iulie 2024",02.08.2024,Decret,Decret privind inițierea negocierilor și aprobarea semnării Amendamentului nr. 2 la Acordul de finanțare (Proiectul Învățământul Superior) dintre Republica Moldova și Asociația Internațională pentru Dezvoltare,Împrumut,AID,,336-339,,https://monitorul.gov.md/ro/search
"nr. 187, 18 iulie 2024",30.07.2024,Lege,"Lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, acționând în calitate de entitate de implementare a Fondului fiduciar pentru prevenirea, pregătirea și răspunsul la pandemii",Grant,BIRD,,325-328,,https://monitorul.gov.md/ro/search
"nr. 184, 18 iulie 2024",30.07.2024,Lege,Lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,325-328,,https://monitorul.gov.md/ro/search
"nr. 1537-IX, 24 iulie 2024",30.07.2024,Decret,"Decret cu privire la aprobarea semnării Acordului de grant dintre Republica Moldova, Banca Internaţională pentru Reconstrucţie şi Dezvoltare şi Asociaţia Internaţională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creştere, Rezilienţă şi Oportunităţi pentru Bunăstare în Moldova (M-GROW)” pentru cofinanţarea Proiectului „Tranziţia durabilă către eficienţa energetică în Moldova (STEEM)”",Grant,BIRD / AID,,325-328,,https://monitorul.gov.md/ro/search
"nr. 1536-IX, 24 iulie 2024",30.07.2024,Decret,"Decret privind promulgarea Legii pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, acționând în calitate de entitate de implementare a Fondului fiduciar pentru prevenirea, pregătirea și răspunsul la pandemii",Grant,BIRD,,325-328,,https://monitorul.gov.md/ro/search
"nr. 1535-IX, 24 iulie 2024",30.07.2024,Decret,Decret privind promulgarea Legii pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,325-328,,https://monitorul.gov.md/ro/search
"nr. 173, 11 iulie 2024",26.07.2024,Lege,Lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare cu privire la Proiectul „Modernizarea și îmbunătățirea serviciilor de reabilitare”,Împrumut,BIRD,,321-324,,https://monitorul.gov.md/ro/search
"nr. 1531-IX, 22 iulie 2024",26.07.2024,Decret,Decret privind promulgarea Legii pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare cu privire la Proiectul „Modernizarea și îmbunătățirea serviciilor de reabilitare”,Împrumut,BIRD,,321-324,,https://monitorul.gov.md/ro/search
