act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
"nr. 1489-IX, 17 iunie 2024",20.06.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului nr. 2, întocmit prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale și Administrației Publice al României privind Programul operațional comun România – Republica Moldova 2014–2020 pentru Programul de cooperare transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014–2020",Grant,UE,,260-263,,https://monitorul.gov.md/ro/search
"nr. 1486-IX, 17 iunie 2024",20.06.2024,Decret,Decret cu privire la inițierea negocierilor și aprobarea semnării Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,260-263,,https://monitorul.gov.md/ro/search
"nr. 140, 6 iunie 2024",20.06.2024,Lege,"Lege pentru ratificarea Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale și Administrației Publice al României privind Programul operațional comun Bazinul Mării Negre 2014–2020 pentru Programul de cooperare transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014–2020",Grant,UE,,260-263,,https://monitorul.gov.md/ro/search
"nr. 139, 6 iunie 2024",20.06.2024,Lege,"Lege pentru ratificarea Amendamentului nr. 2, întocmit prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale și Administrației Publice al României privind Programul operațional comun România – Republica Moldova 2014–2020 pentru Programul de cooperare transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014–2020",Grant,UE,,260-263,,https://monitorul.gov.md/ro/search
"nr. 420, 12 iunie 2024",13.06.2024,Hotărâre,"Hotărâre pentru aprobarea semnării Acordului de modificare nr. 1 la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”, semnat la Chișinău la 27 iunie 2023",Împrumut,BERD,27.06.2023,251-253,,https://monitorul.gov.md/ro/search
"nr. 419, 12 iunie 2024",13.06.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,BIRD,,251-253,,https://monitorul.gov.md/ro/search
"nr. 418, 12 iunie 2024",13.06.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,AID,,251-253,,https://monitorul.gov.md/ro/search
"nr. 1477-IX, 10 iunie 2024",13.06.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea proiectelor investiționale orientate spre dezvoltarea infrastructurii în domeniul managementului deșeurilor solide, în sumă de 5 400 000 de euro, în vederea realizării proiectului „Deșeuri solide în Republica Moldova”",Grant,BERD,,251-253,,https://monitorul.gov.md/ro/search
"nr. 129, 30 mai 2024",13.06.2024,Lege,"Lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea proiectelor investiționale orientate spre dezvoltarea infrastructurii în domeniul managementului deșeurilor solide, în sumă de 5 400 000 de euro, în vederea realizării proiectului „Deșeuri solide în Republica Moldova”",Grant,BERD,,251-253,,https://monitorul.gov.md/ro/search
"nr. 396, 5 iunie 2024",06.06.2024,Hotărâre,Hotărâre pentru aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare cu privire la Proiectul „Modernizarea și îmbunătățirea serviciilor de reabilitare”,Împrumut,BIRD,,238-240,,https://monitorul.gov.md/ro/search
"nr. 377, 29 mai 2024",30.05.2024,Hotărâre,"Hotărâre privind inițierea negocierilor asupra proiectului Acordului de modificare nr. 1 la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”, semnat la Chișinău la 27 iunie 2023, și împuternicirea delegației oficiale pentru negocierea acestuia",Împrumut,BERD,27.06.2023,229-231,,https://monitorul.gov.md/ro/search
"nr. 355, 29 mai 2024",30.05.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale şi Administrației Publice al României privind Programul Operațional Comun Bazinul Mării Negre 2014-2020 pentru Programul de Cooperare Transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014-2020, semnat la Chișinău la 12 decembrie 2016",Grant,UE,12.12.2016,229-231,,https://monitorul.gov.md/ro/search
"nr. 354, 29 mai 2024",30.05.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale şi Administrației Publice al României privind Programul Operațional Comun România – Republica Moldova 2014-2020 pentru Programul de Cooperare Transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014-2020, semnat la Chișinău la 12 decembrie 2016",Grant,UE,12.12.2016,229-231,,https://monitorul.gov.md/ro/search
"nr. 1454-IX, 21 mai 2024",28.05.2024,Decret,"Decret privind promulgarea Legii pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare, nr. CMD 1009 01 J",Împrumut,AFD,,226-228,,https://monitorul.gov.md/ro/search
"nr. 115, 16 mai 2024",28.05.2024,Lege,"Lege pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare, nr. CMD 1009 01 J",Împrumut,AFD,,226-228,,https://monitorul.gov.md/ro/search
"nr. 1452-IX, 15 mai 2024",17.05.2024,Decret,"Decret cu privire la inițierea negocierilor asupra proiectului Acordului de grant dintre Republica Moldova, Banca Internațională pentru Reconstrucție şi Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, Reziliență și Oportunități pentru Bunăstare în Moldova (M-GROW)” pentru cofinanțarea Programului „Operațiunea Politica de Dezvoltare pentru Sprijinirea Creșterii și Rezilienței în Moldova”",Grant,BIRD / AID,,213-215,,https://monitorul.gov.md/ro/search
"nr. 1451-IX, 15 mai 2024",17.05.2024,Decret,"Decret cu privire la inițierea negocierilor asupra proiectului Acordului de grant dintre Republica Moldova, Banca Internațională pentru Reconstrucție şi Dezvoltare și Asociația Internațională pentru Dezvoltare pentru realizarea Programului Fondului fiduciar multidonator „Creștere, Reziliență și Oportunități pentru Bunăstare în Moldova (M-GROW)” în vederea cofinanțării Proiectului „Tranziția durabilă către eficiența energetică în Moldova (STEEM)”",Grant,BIRD / AID,,213-215,,https://monitorul.gov.md/ro/search
"nr. 1449-IX, 15 mai 2024",17.05.2024,Decret,"Decret pentru inițierea negocierilor și aprobarea semnării Amendamentului nr. 1, întocmit prin schimb de scrisori, la Acordul de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare cu privire la Proiectul de înregistrare şi evaluare funciară",Împrumut,AID,,213-215,,https://monitorul.gov.md/ro/search
"nr. 348, 15 mai 2024",16.05.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea implementării Proiectului „Tranziția durabilă către eficiența energetică în Moldova (STEEM)” și acordarea împuternicirilor delegației pentru negocierea acestuia,Împrumut,BIRD,,209-212,,https://monitorul.gov.md/ro/search
"nr. 345, 15 mai 2024",16.05.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Programului „Operațiunea politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova” și acordarea împuternicirilor pentru negocierea acestuia,Împrumut,BIRD,,209-212,,https://monitorul.gov.md/ro/search
"nr. 1430-IX, 2 mai 2024",10.05.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Interconectarea rețelelor de energie electrică dintre Republica Moldova și România, Faza II”",Împrumut,BERD,,202-204,,https://monitorul.gov.md/ro/search
"nr. 1429-IX, 2 mai 2024",10.05.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei privind implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,202-204,,https://monitorul.gov.md/ro/search
"nr. 104, 26 aprilie 2024",10.05.2024,Lege,"Lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Interconectarea rețelelor de energie electrică dintre Republica Moldova și România, Faza II”",Împrumut,BERD,,202-204,,https://monitorul.gov.md/ro/search
"nr. 102, 25 aprilie 2024",10.05.2024,Lege,Lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei privind implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,202-204,,https://monitorul.gov.md/ro/search
"nr. 1418-IX, 30 aprilie 2024",03.05.2024,Decret,"Decret privind inițierea negocierilor și aprobarea semnării Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, acționând în calitate de entitate de implementare a Fondului fiduciar pentru prevenirea, pregătirea și răspunsul la pandemii",Grant,BIRD,,195-197,,https://monitorul.gov.md/ro/search
"nr. 318, 30 aprilie 2024",02.05.2024,Hotărâre,"Hotărâre cu privire la inițierea negocierilor și aprobarea semnării Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale şi Administrației Publice al României privind Programul Operațional Comun România - Republica Moldova 2014-2020 pentru Programul de Cooperare Transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014-2020, semnat la Chișinău la 12 decembrie 2016",Grant,UE,12.12.2016,192-194,,https://monitorul.gov.md/ro/search
"nr. 317, 30 aprilie 2024",02.05.2024,Hotărâre,"Hotărâre cu privire la inițierea negocierilor și aprobarea semnării Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale şi Administrației Publice al României privind Programul Operațional Comun Bazinul Mării Negre 2014 –2020 pentru Programul de Cooperare Transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014 – 2020, semnat la Chișinău la 12 decembrie 2016",Grant,UE,12.12.2016,192-194,,https://monitorul.gov.md/ro/search
"nr. 315, 30 aprilie 2024",02.05.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea proiectelor investiționale orientate spre dezvoltarea infrastructurii în domeniul managementului deșeurilor solide, în sumă de 5 400 000 de euro, în vederea realizării Proiectului „Deșeuri solide în Republica Moldova”, semnat la 22 februarie 2024",Grant,BERD,22.02.2024,192-194,,https://monitorul.gov.md/ro/search
"nr. 279, 17 aprilie 2024",18.04.2024,Hotărâre,"Hotărâre cu privire la modificarea unor hotărâri ale Guvernului (punerea în aplicare a prevederilor Legii nr. 10/2024 pentru ratificarea Acordului de grant, întocmit prin schimb de note, dintre Guvernul Republicii Moldova și Guvernul Japoniei privind realizarea proiectului „Asigurarea fermierilor cu fertilizanți”)",Grant,Japonia,,177-180,,https://monitorul.gov.md/ro/search
"nr. 268, 17 aprilie 2024",18.04.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Interconectarea rețelelor de energie electrică dintre Republica Moldova și România, Faza II”, semnat la Chișinău la 13 martie 2024",Împrumut,BERD,13.03.2024,177-180,,https://monitorul.gov.md/ro/search
"nr. 267, 17 aprilie 2024",18.04.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1009 01 J, semnat la Paris la 7 martie 2024",Împrumut,AFD,07.03.2024,177-180,,https://monitorul.gov.md/ro/search
"nr. 265, 17 aprilie 2024",18.04.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”, semnat la Chișinău la 26 martie 2024",Grant,CEB,26.03.2024,177-180,,https://monitorul.gov.md/ro/search
"nr. 54, 14 martie 2024",25.03.2024,Lege,Lege pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții „EFSD + Fereastra dedicată investiției 1”,Împrumut,BEI,,112-117,,https://monitorul.gov.md/ro/search
"nr. 53, 14 martie 2024",25.03.2024,Lege,Lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului V de reabilitare a drumurilor din Moldova,Împrumut,BERD,,112-117,,https://monitorul.gov.md/ro/search
"nr. 1378-IX, 20 martie 2024",25.03.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului V de reabilitare a drumurilor din Moldova,Împrumut,BERD,,112-117,,https://monitorul.gov.md/ro/search
"nr. 1377-IX, 20 martie 2024",25.03.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Contractului de finanțare dintre Republica Moldova și Banca Europeană de Investiții „EFSD + Fereastra dedicată investiției 1”,Împrumut,BEI,,112-117,,https://monitorul.gov.md/ro/search
"nr. 205, 20 martie 2024",21.03.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova” și acordarea împuternicirilor pentru negocierea acestuia,Împrumut,BIRD,,104-107,,https://monitorul.gov.md/ro/search
"nr. 204, 20 martie 2024",21.03.2024,Hotărâre,Hotărâre cu privire la inițierea negocierilor asupra proiectului Acordului de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova” și acordarea împuternicirilor pentru negocierea acestuia,Împrumut,AID,,104-107,,https://monitorul.gov.md/ro/search
"nr. 1364-IX, 12 martie 2024",15.03.2024,Decret,Decret pentru inițierea negocierilor și aprobarea semnării Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”,Grant,CEB,,101-102,,https://monitorul.gov.md/ro/search
"nr. 170, 6 martie 2024",07.03.2024,Hotărâre,Hotărâre cu privire la aprobarea semnării Acordului de facilitate de credit dintre Republica Moldova și Agenția Franceză pentru Dezvoltare nr. CMD 1009 01 J,Împrumut,AFD,,93-95,,https://monitorul.gov.md/ro/search
"nr. 162, 6 martie 2024",07.03.2024,Hotărâre,"Hotărâre cu privire la aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Interconectarea rețelelor de energie electrică dintre Republica Moldova și România, Faza II”",Împrumut,BERD,,93-95,,https://monitorul.gov.md/ro/search
"nr. 143, 28 februarie 2024",29.02.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Contractului de finanțare dintre Republica Moldova şi Banca Europeană de Investiții „EFSD + Fereastra dedicată investiției 1”, semnat la Chișinău la 15 decembrie 2023",Împrumut,BEI,15.12.2023,83-85,,https://monitorul.gov.md/ro/search
"nr. 142, 28 februarie 2024",29.02.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova şi Banca Europeană pentru Reconstrucție şi Dezvoltare privind realizarea Proiectului V de reabilitare a drumurilor din Moldova, semnat la Londra la 22 ianuarie 2024",Împrumut,BERD,22.01.2024,83-85,,https://monitorul.gov.md/ro/search
"nr. 136, 28 februarie 2024",29.02.2024,Hotărâre,Hotărâre cu privire la aprobarea Acordului de finanțare dintre Guvernul Republicii Moldova și Comisia Europeană privind Programul „UE4Moldova: Integrare și Stabilitate”,Grant,UE,,83-85,,https://monitorul.gov.md/ro/search
"nr. 24, 15 februarie 2024",23.02.2024,Lege,"Lege pentru ratificarea Acordului de grant dintre Ministerul Mediului al Republicii Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea asistenței tehnice, în sumă de 600000 de euro, în vederea realizării Proiectului „Deșeuri solide în Republica Moldova”",Grant,BERD,,79-82,,https://monitorul.gov.md/ro/search
"nr. 1342-IX, 20 februarie 2024",23.02.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Acordului de grant dintre Ministerul Mediului al Republicii Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea asistenței tehnice, în sumă de 600000 de euro, în vederea realizării Proiectului „Deșeuri solide în Republica Moldova”",Grant,BERD,,79-82,,https://monitorul.gov.md/ro/search
"nr. 110, 14 februarie 2024",15.02.2024,Hotărâre,Hotărâre сu privire la inițierea negocierilor și aprobarea semnării Acordului de finanțare dintre Guvernul Republicii Moldova și Comisia Europeană privind Programul „UE4Moldova: Integrare și Stabilitate”,Grant,UE,,70-72,,https://monitorul.gov.md/ro/search
"nr.1331-IX, 9 februarie 2024",13.02.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Acordului de grant, întocmit prin schimb de note, dintre Guvernul Republicii Moldova și Guvernul Japoniei privind realizarea proiectului „Asigurarea fermierilor cu fertilizanți”",Grant,Japonia,,64-69,,https://monitorul.gov.md/ro/search
"nr. 10, 1 februarie 2024",13.02.2024,Lege,"Lege pentru ratificarea Acordului de grant, întocmit prin schimb de note, dintre Guvernul Republicii Moldova și Guvernul Japoniei privind realizarea proiectului „Asigurarea fermierilor cu fertilizanți”",Grant,Japonia,,64-69,,https://monitorul.gov.md/ro/search
"nr. 44, 24 ianuarie 2024",25.01.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant, întocmit prin schimb de note, dintre Guvernul Republicii Moldova și Guvernul Japoniei privind realizarea Proiectului „Asigurarea fermierilor cu fertilizanți”, semnat la Chișinău la 6 decembrie 2023",Grant,Japonia,06.12.2023,32-35,,https://monitorul.gov.md/ro/search
"nr. 43, 24 ianuarie 2024",25.01.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Ministerul Mediului al Republicii Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind finanțarea asistenței tehnice, în sumă de 600 000 de euro, în vederea realizării Proiectului „Deșeuri solide în Republica Moldova”, semnat la Chișinău la 20 decembrie 2023",Grant,BERD,20.12.2023,32-35,,https://monitorul.gov.md/ro/search
"nr. 441, 28 decembrie 2023",12.01.2024,Lege,"Lege pentru ratificarea Acordului de împrumut dintre Guvernul Republicii Moldova și Bank Gospodarstwa Krajowego (Polonia) pentru susținerea dezvoltării întreprinderilor mici și mijlocii, prin intermediul instituției publice „Organizația pentru Dezvoltarea Antreprenoriatului”",Împrumut,Polonia,,13-16,,https://monitorul.gov.md/ro/search
"nr. 28, 10 ianuarie 2024",12.01.2024,Hotărâre,"Hotărâre pentru inițierea negocierilor asupra proiectului Acordului de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare privind realizarea Proiectului „Interconectarea rețelelor de energie electrică dintre Republica Moldova și România, Faza II” și acordarea împuternicirilor delegației oficiale pentru negocierea acestuia",Împrumut,BERD,,13-16,,https://monitorul.gov.md/ro/search
"nr. 1293-IX, 9 ianuarie 2024",12.01.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Acordului de împrumut dintre Guvernul Republicii Moldova și Bank Gospodarstwa Krajowego (Polonia) pentru susținerea dezvoltării întreprinderilor mici și mijlocii, prin intermediul instituției publice „Organizația pentru Dezvoltarea Antreprenoriatului”",Împrumut,Polonia,,13-16,,https://monitorul.gov.md/ro/search
