act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
AMAE127/2002,20.09.2001,Act,Act ACORD ÎNTRE GUVERNUL REPUBLICII MOLDOVA ȘI GUVERNUL CONFEDERAŢIEI ELVEŢIENE PRIVIND ASISTENTA UMANITARĂ ŞI COOPERAREA TEHNICĂ*,Grant,Elveția,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=116481&lang=ro
HG799/2001,10.08.2001,Hotărâre,Hotărâre cu privire la iniţierea negocierilor asupra proiectului Memorandumului de înţelegere între Guvernul Statelor Unite ale Americii şi Guvernul Republicii Moldova referitor la acordarea asistenţei în cadrul proiectului de asistenţă socială şi accesul prioritar la energie (PASAPE),Asistență tehnică,SUA,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=14609&lang=ro
HG783/2001,08.08.2001,Hotărâre,"Hotărâre cu privire la acordarea deplinelor puteri dlui Andrei CUCU, viceprim-ministru, ministrul economiei, pentru semnarea Acordului între Guvernul Republicii Moldova şi Guvernul Confederaţiei Elveţiene în domeniul ajutorului umanitar şi cooperării tehnice",Grant,Elveția,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=73135&lang=ro
DPRM141/2001,18.07.2001,Decret,Decret privind promulgarea Legii pentru ratificarea Memorandumului de înţelegere dintre Guvernul Republicii Moldova şi Guvernul Regatului Unit al Marii Britanii şi Irlandei de Nord privind cooperarea tehnică,Asistență tehnică,Regatul Unit,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=55223&lang=ro
LP305/2001,28.06.2001,Lege,Lege pentru ratificarea Memorandumului de înţelegere dintre Guvernul Republicii Moldova şi Guvernul Regatului Unit al Marii Britanii şi Irlandei de Nord privind cooperarea tehnică,Asistență tehnică,Regatul Unit,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63859&lang=ro
HP304/2001,28.06.2001,Hotărâre,Hotărâre a Parlamentului asupra proiectului de Lege pentru ratificarea Memorandumului de înţelegere dintre Guvernul Republicii Moldova şi Guvernul Regatului Unit al Marii Britanii şi Irlandei de Nord privind cooperarea tehnică,Asistență tehnică,Regatul Unit,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63121&lang=ro
DPRM65/2001,30.05.2001,Decret,Decret pentru promulgarea Legii privind ratificarea Acordului de credit pentru proiectul Fondului de Investiţii în Sănătate dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=57244&lang=ro
HG379/2001,29.05.2001,Hotărâre,Hotărâre despre proiectul de lege pentru ratificarea Memorandumului de înţelegere între Guvernul Republicii Moldova şi Guvernul Regatului Unit al Marii Britanii şi Irlandei de Nord privind cooperarea tehnică,Asistență tehnică,Regatul Unit,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=73863&lang=ro
LP161/2001,17.05.2001,Lege,Lege privind ratificarea Acordului de credit pentru proiectul Fondului de Investiţii în Sănătate dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63434&lang=ro
HP160/2001,17.05.2001,Hotărâre,Hotărâre a Parlamentului asupra proiectului de Lege privind ratificarea Acordului de credit pentru proiectul Fondului de Investiţii în Sănătate dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=58408&lang=ro
HG206/2001,20.03.2001,Hotărâre,Hotărâre privind rambursarea împrumutului acordat de Banca Internaţională pentru Reconstrucţie şi Dezvoltare pentru primul proiect agricol,Împrumut,BIRD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=47852&lang=ro
HG6/2001,05.01.2001,Hotărâre,Hotărâre cu privire la iniţierea negocierilor asupra proiectului Memorandumului de înţelegere între Guvernul Republicii Moldova şi Guvernul Regatului Unit al Marii Britanii şi Irlandei de Nord privind cooperarea tehnică,Asistență tehnică,Regatul Unit,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=74529&lang=ro
HG1207/2000,28.11.2000,Hotărâre,"Hotărâre privind negocierea celei de a doua tranşe a creditului, contractat potrivit Acordului de credit între Guvernul Republicii Moldova şi Banca ""Export Credit Bank"" din Turcia",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=72555&lang=ro
HG1108/2000,07.11.2000,Hotărâre,Hotărâre despre aprobarea proiectului de lege privind ratificarea Acordului de credit între Republica Moldova şi Agenţia Internaţională pentru Dezvoltare pentru proiectul Fondului de Investiţii în Sănătate,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=72668&lang=ro
HG1043/2000,17.10.2000,Hotărâre,Hotărâre despre iniţierea negocierilor asupra proiectului Acordului între Guvernul Republicii Moldova şi Guvernul Confederaţiei Elveţiene privind asistenţa umanitară,Grant,Elveția,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=73431&lang=ro
DPRM1599/2000,14.08.2000,Decret,"Decret pentru promulgarea Legii cu privire la ratificarea Acordului de finanţare dintre Guvernul Republicii Moldova şi ""Hewlett-Packard Europe Finance Ltd""",Asistență financiară,Hewlett-Packard,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=6062&lang=ro
LP1215/2000,31.07.2000,Lege,"Lege cu privire la ratificarea Acordului de finanţare dintre Guvernul Republicii Moldova şi ""Hewlett-Packard Europe Finance Ltd""",Asistență financiară,Hewlett-Packard,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62285&lang=ro
HP1214/2000,31.07.2000,Hotărâre,"Hotărâre a Parlamentului asupra proiectului de Lege cu privire la ratificarea Acordului de finanţare dintre Guvernul Republicii Moldova şi ""Hewlett-Packard Europe Finance Ltd.""",Asistență financiară,Hewlett-Packard,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63329&lang=ro
LP1201/2000,28.07.2000,Lege,Lege pentru ratificarea Addendumului la Acordul dintre Guvernul Republicii Moldova şi Guvernul României referitor la împrumutul pe termen lung în valoare de 20 miliarde lei româneşti,Împrumut,România,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61898&lang=ro
HP1200/2000,28.07.2000,Hotărâre,Hotărâre a Parlamentului asupra proiectului de Lege pentru ratificarea Addendumului la Acordul dintre Guvernul Republicii Moldova şi Guvernul României referitor la împrumutul pe termen lung în valoare de 20 miliarde lei româneşti,Împrumut,România,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63321&lang=ro
HG1121/2000,07.07.2000,Hotărâre,"Hotărâre cu privire la efectuarea controlului legitimităţii încheierii Acordului de leasing dintre Guvernul Republicii Moldova şi ""Hewlett-Packard Europe Finance Ltd."" şi transformării acestuia în Acord de finanţare",Asistență financiară,Hewlett-Packard,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=46673&lang=ro
HG636/2000,05.07.2000,Hotărâre,Hotărâre despre aprobarea proiectului de lege pentru ratificarea Addendumului la Acordul între Guvernul Republicii Moldova şi Guvernul României referitor la împrumutul pe termen lung în valoare de 20 miliarde lei româneşti,Împrumut,România,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=72340&lang=ro
HG495/2000,29.05.2000,Hotărâre,"Hotărâre despre aprobarea proiectului de lege ""Cu privire la ratificarea Acordului de finanţare dintre Guvernul Republicii Moldova şi Hewlett-Packard Europe Finance Ltd.""",Asistență financiară,Hewlett-Packard,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=73188&lang=ro
HG451/2000,15.05.2000,Hotărâre,Hotărâre cu privire la crearea Grupului de lucru pentru negocierea Acordului de creditare concesională cu banca germană KfW,Împrumut,KfW,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=43108&lang=ro
DPRM1440/2000,28.04.2000,Decret,Decret Pentru promulgarea Legii pentru ratificarea Acordului de credit dintre Republica Moldova şi Fondul Internaţional pentru Dezvoltare Agricolă,Împrumut,FIDA,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61287&lang=ro
LP966/2000,27.04.2000,Lege,Lege pentru ratificarea Acordului de credit dintre Republica Moldova şi Fondul Internaţional pentru Dezvoltare Agricolă,Împrumut,FIDA,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=64206&lang=ro
